Title,Movie Link,Year,Duration,MPA,Rating,Votes
165. Alone in the Dark,https://www.imdb.com/title/tt0369226/?ref_=sr_t_165,2005,1h 36m,R,2.4,48K
166. The World's Fastest Indian,https://www.imdb.com/title/tt0412080/?ref_=sr_t_166,2005,2h 7m,PG-13,7.8,61K
167. The Three Burials of Melquiades Estrada,https://www.imdb.com/title/tt0419294/?ref_=sr_t_167,2005,2h 1m,R,7.3,42K
168. Goal! The Dream Begins,https://www.imdb.com/title/tt0380389/?ref_=sr_t_168,2005,1h 58m,PG,6.7,67K
169. Kiss Kiss Bang Bang,https://www.imdb.com/title/tt0373469/?ref_=sr_t_169,2005,1h 43m,R,7.5,241K
170. Enron: The Smartest Guys in the Room,https://www.imdb.com/title/tt1016268/?ref_=sr_t_170,2005,1h 50m,R,7.6,20K
171. King's Ransom,https://www.imdb.com/title/tt0388183/?ref_=sr_t_171,2005,1h 35m,PG-13,4.4,4K
172. Me and You and Everyone We Know,https://www.imdb.com/title/tt0415978/?ref_=sr_t_172,2005,1h 25m,R,7.2,38K
173. Caché,https://www.imdb.com/title/tt0387898/?ref_=sr_t_173,2005,1h 57m,R,7.3,87K
174. Stay,https://www.imdb.com/title/tt0371257/?ref_=sr_t_174,2005,1h 39m,R,6.7,88K
175. Harsh Times,https://www.imdb.com/title/tt0433387/?ref_=sr_t_175,2005,1h 56m,R,6.8,69K
176. Rize,https://www.imdb.com/title/tt0436724/?ref_=sr_t_176,2005,1h 26m,PG-13,7.1,3.4K
177. Grizzly Man,https://www.imdb.com/title/tt0427312/?ref_=sr_t_177,2005,1h 43m,R,7.8,64K
178. Boynton Beach Club,https://www.imdb.com/title/tt0439478/?ref_=sr_t_178,2005,1h 45m,R,6.5,1.2K
179. Supercross,https://www.imdb.com/title/tt0403016/?ref_=sr_t_179,2005,1h 20m,PG-13,4.3,4.9K
180. Tsotsi,https://www.imdb.com/title/tt0468565/?ref_=sr_t_180,2005,1h 34m,R,7.2,32K
181. My Brother's Wife,https://www.imdb.com/title/tt0463345/?ref_=sr_t_181,2005,1h 29m,R,6.0,3.6K
182. Junebug,https://www.imdb.com/title/tt0418773/?ref_=sr_t_182,2005,1h 46m,R,6.9,24K
183. The Lost City,https://www.imdb.com/title/tt0343996/?ref_=sr_t_183,2005,2h 24m,R,6.5,10K
184. BloodRayne,https://www.imdb.com/title/tt0383222/?ref_=sr_t_184,2005,1h 35m,R,3.0,38K
185. Oliver Twist,https://www.imdb.com/title/tt0380599/?ref_=sr_t_185,2005,2h 10m,PG-13,6.8,35K
186. Brick,https://www.imdb.com/title/tt0393109/?ref_=sr_t_186,2005,1h 50m,R,7.1,112K
187. Strangers with Candy,https://www.imdb.com/title/tt0369994/?ref_=sr_t_187,2005,1h 37m,R,5.9,8.5K
188. The Work and the Glory II: American Zion,https://www.imdb.com/title/tt0457530/?ref_=sr_t_188,2005,1h 40m,PG-13,6.2,794
189. The Proposition,https://www.imdb.com/title/tt0421238/?ref_=sr_t_189,2005,1h 44m,R,7.3,56K
190. A Sound of Thunder,https://www.imdb.com/title/tt0318081/?ref_=sr_t_190,2005,1h 50m,PG-13,4.2,21K
191. Kinky Boots,https://www.imdb.com/title/tt0434124/?ref_=sr_t_191,2005,1h 47m,PG-13,7.1,22K
192. Mrs Palfrey at the Claremont,https://www.imdb.com/title/tt0421229/?ref_=sr_t_192,2005,1h 48m,Not Rated,7.6,4.4K
193. Everything Is Illuminated,https://www.imdb.com/title/tt0404030/?ref_=sr_t_193,2005,1h 46m,PG-13,7.4,60K
194. Sweet Land,https://www.imdb.com/title/tt0428038/?ref_=sr_t_194,2005,1h 50m,PG,7.1,4.2K
195. State Property: Blood on the Streets,https://www.imdb.com/title/tt0403537/?ref_=sr_t_195,2005,1h 34m,R,4.5,1.6K
196. The White Countess,https://www.imdb.com/title/tt0384686/?ref_=sr_t_196,2005,2h 15m,PG-13,6.5,7.1K
197. Keeping Mum,https://www.imdb.com/title/tt0444653/?ref_=sr_t_197,2005,1h 39m,R,6.8,37K
198. Murderball,https://www.imdb.com/title/tt0436613/?ref_=sr_t_198,2005,1h 28m,R,7.7,11K
199. Trust the Man,https://www.imdb.com/title/tt0427968/?ref_=sr_t_199,2005,1h 43m,R,5.7,8.9K
200. Paradise Now,https://www.imdb.com/title/tt0445620/?ref_=sr_t_200,2005,1h 31m,PG-13,7.4,24K
201. Why We Fight,https://www.imdb.com/title/tt0436971/?ref_=sr_t_201,2005,1h 38m,PG-13,8.0,10K
202. The Notorious Bettie Page,https://www.imdb.com/title/tt0404802/?ref_=sr_t_202,2005,1h 31m,R,6.5,12K
203. Salaam Namaste,https://www.imdb.com/title/tt0456165/?ref_=sr_t_203,2005,2h 38m,Not Rated,6.2,8.4K
204. Paheli,https://www.imdb.com/title/tt0451850/?ref_=sr_t_204,2005,2h 20m,Not Rated,6.4,15K
205. Thumbsucker,https://www.imdb.com/title/tt0318761/?ref_=sr_t_205,2005,1h 36m,R,6.5,22K
206. Sarah Silverman: Jesus Is Magic,https://www.imdb.com/title/tt0422528/?ref_=sr_t_206,2005,1h 12m,Not Rated,6.5,5.7K
207. Happy Endings,https://www.imdb.com/title/tt0361693/?ref_=sr_t_207,2005,2h 8m,R,6.3,9.6K
208. El vacilón: The Movie,https://www.imdb.com/title/tt0428003/?ref_=sr_t_208,2005,1h 20m,R,4.4,113
209. Tristram Shandy,https://www.imdb.com/title/tt0423409/?ref_=sr_t_209,2005,1h 34m,R,6.7,13K
210. Slow Burn,https://www.imdb.com/title/tt0376196/?ref_=sr_t_210,2005,1h 33m,R,5.7,4.3K
211. Bee Season,https://www.imdb.com/title/tt0387059/?ref_=sr_t_211,2005,1h 44m,PG-13,5.5,7.3K
